Article ID,Claims
100,"[
    ""Trump's sweeping new tariffs on more than 90 countries around the world have come into effect."",
    ""Trump is using tariffs to encourage jobs and manufacturing industries to return to America, among other political goals."",
    ""His tariffs work by charging US importers a tax on goods they buy from other countries. Those importers may pass some or all of the extra cost on to customers."",
    ""Trump has also been accused of throwing the global economy into turmoil in recent months, though markets have recently been more stable."",
    ""The overall average US tariff rate is at its highest in almost a century, thanks to a range of other industry-specific taxes affecting products such as vehicles and steel."",
    ""Many tariffs were later paused amid market turbulence, and to give other countries time to strike new trade deals with the US."",
    ""Export-dependent economies in South East Asia are among the hardest-hit."",
    ""Manufacturing-focused Laos and Myanmar face some of the highest levies at 40%."",
    ""Some experts said Trump appears to have targeted countries with close trade ties with China."",
    ""After more than four months of uncertainty, markets in Asia seemed to take the news in their stride on Thursday."",
    ""Major share indexes in Japan, Hong Kong, South Korea and mainland China were a little higher, while markets in India and Australia were lower."",
    ""The latest set of tariffs will offer countries some stability after months of chaos, said economist Bert Hofman from the National University of Singapore."",
    ""Some major economies - including the UK, Japan and South Korea - reached agreements to ensure goods exported to the US would face a lower tariff rate than Trump threatened in April."",
    ""The European Union has also struck a framework deal with Washington, in which Brussels has accepted a 15% tariff on goods from the trading bloc."",
    ""At 39%, the tariff rate on Swiss goods is one of the highest imposed by the US, and threatens to hit the country's economy hard."",
    ""But most Canadian exports to the US will dodge the import tax due to an existing trade treaty, the United States-Mexico-Canada Agreement (USMCA)."",
    ""Higher tariffs on Mexico were paused for another 90 days as negotiations continue to strike a trade deal."",
    ""Major chipmakers that have made significant investments in the US appear to be able to dodge the new tariff.""
]"
101,
102,"[
    ""If India keeps buying oil from Russia, US companies that purchase Indian goods would have to pay a 100% import tax, or tariff, when the products reach American shores."",
    ""This would make the goods so expensive that US businesses would likely choose to buy them cheaper from elsewhere, resulting in lost revenue for India."",
    ""The intention is also to hobble Russia's economy. Theoretically, if Moscow was unable to generate money by selling oil to other nations it would also have less money to finance its war in Ukraine."",
    ""Given that oil and gas account for almost a third of Moscow's state revenue and more than 60% of its exports, 100% tariffs could make something of a dent Russia's finances."",
    ""The Moscow Stock Exchange Index rose sharply following the announcement, likely as investors were expecting Trump to pledge even harsher measures.""
]"
103,
104,"[
    ""The US is Brazil's second-largest trade partner after China, so the hike would hit the South American nation hard."",
    ""Brazil is the US's 15th largest trading partner and among its main imports from the US are mineral fuels, aircraft and machinery."",
    ""For its part, the US imports gas and petroleum, iron, and coffee from Brazil."",
    ""The executive order on tariffs excludes several of Brazil's major exports from the steep taxes, including orange juice, some aircraft parts and energy products."",
    ""The latest sanctions mark a new escalation in an increasingly tense relationship between Brazil and the US under Trump's second term.""
]"
105,"[
    ""In 2024, the US trade deficit with the bloc was $235.6bn (€202bn; £174bn), according to the office of the US trade representative."",
    ""Germany's Association of the Automotive Industry warned about the prospect of rising costs for German carmakers and suppliers, and said it was 'regrettable that there is a threat of a further escalation of the trade conflict'."",
    ""As of Saturday, the Trump administration has now proposed tariff conditions on 24 countries and the EU - composed of 27 countries.""
]"
106,"[
    ""The US and EU have struck what is being billed as the largest trade deal in history, after talks in Scotland."",
    ""It actually resembles the framework for an agreement rather than a full trade deal, with details still unclear."",
    ""It looks to most commentators that the EU has given up more, with instant analysis by Capital Economics suggesting a 0.5% knock to GDP."",
    ""There will also be tens of billions of dollars pouring into US coffers in import taxes."",
    ""The glowing headlines for Trump may not last long if a slew of economic data due later this week show that his radical reshaping of the US economy is backfiring."",
    ""Ordinary Americans are already aggrieved at the increased cost of living and this deal could add to the burden by hiking prices on EU goods."",
    ""While not as steep as it could have been, the hurdle represented by a 15% tariff rate is still significant, and it is far more pronounced than the obstacles that existed before Trump returned to office."",
    ""Companies who bring foreign goods into the US have to pay the tax to the government, and they often pass some or all of the extra cost on to customers."",
    ""Stock markets in Asia and Europe rose on Monday after news emerged of the deal framework."",
    ""Under the framework, the US will levy a 15% tariff on goods imported from the EU. While this rate is significant, it is less than what it could have been and at least offers certainty for investors."",
    ""The agreement is 'clearly market-friendly, and should put further upside potential into the euro'."",
    ""The deal will need to be signed off by all 27 members of the EU, each of which have differing interests and levels of reliance on the export of goods to the US."",
    ""Carmakers in Germany are considered losers as the tariff faced by importers bringing EU cars to the US has been nearly halved, from the rate of 27.5% to a new rate of 15%, and even this 15% would 'cost the German automotive industry billions annually'."",
    ""Cars are one of the EU's top exports to the US."",
    ""American carmakers received a boost when they learned that the EU was dropping its own tariff on US-made cars from 10% to 2.5%, which theoretically could result in more American cars being bought in Europe."",
    ""Many American cars are actually assembled abroad—in Canada and Mexico—and Trump subjects them to a tariff of 25% when they are brought into the US. That compares with a lower tariff rate of 15% on EU vehicles. So US car makers may now fear being undercut by European manufacturers."",
    ""There is confusion around the tariff rate that will be levied on European-made drugs being bought in the US. Either scenario will represent disappointment for European pharma, which initially hoped for a total tariffs exemption."",
    ""The European pharmaceutical industry currently enjoys high exposure to the US marketplace thanks to products like Ozempic."",
    ""Critics in Ireland have pointed out the importance of the pharmaceutical industry and criticised the damaging effect of uncertainty."",
    ""Trump said the EU will purchase $750bn in US energy, in addition to increasing overall investment in the US by $600bn."",
    ""This will deepen links between European energy security and the US at a time when it has been pivoting away from importing Russian gas since its full-scale invasion of Ukraine."",
    ""Some 'strategic products' will not attract any tariffs, including aircraft and plane parts, certain chemicals and some agricultural products, meaning firms making components for aeroplanes will have friction-free trade between the huge trading blocs."",
    ""The EU still hoped to get more 'zero-for-zero' agreements, notably for wines and spirits, in the coming days.""
]"
107,"[
    ""The EU's retaliation, which would have hit €21bn worth of US goods, was first suspended in March."",
    ""The countermeasures (EU tariffs) have been delayed again and the break has been extended until early August.""
]"
108,"[
    ""US stock markets were rattled on Friday after Trump forged ahead with his plans to raise import tariffs on goods from countries around the world."",
    ""Figures were then released by BLS showing that employers in the US added just 73,000 jobs in July, far below forecasts of 109,000 new roles."",
    ""The agency also revised down employment growth in May and June, reporting 250,000 fewer jobs than previously thought."",
    ""It was the largest downward revision in employment figures - apart from the Covid-era - since 1979."",
    ""It is not unusual for the BLS to amend jobs figures as more data comes to light."",
    ""During Joe Biden's presidency, statistics for 12 months over 2023-4 were retroactively revised downward by 818,000 jobs."",
    ""Though this month's changes were much larger than usual, analysts said the updates were consistent with other data showing slowdown."",
    ""Data this week and a string of updates from companies on tariff costs have made those forecasts harder to ignore."",
    ""Leading US stock market indices all closed sharply lower on Friday."",
    ""The Fed is holding fire until it sees the full impact of tariffs on the US economy."",
    ""Some analysts speculated that the jobs data could reflect a hit to small businesses, which are typically slower to respond to surveys and are especially vulnerable to tariffs."",
    ""The fight over data comes as Trump remakes trade policy, hitting goods from countries around the world with new tariffs ranging from 10% to 50%."",
    ""When Trump put forward similar plans in April, shares in the US tumbled more than 10% in a week as concerns spread to the dollar and bond markets."",
    ""The stock market recovered after he suspended some of the most drastic measures, leaving in place a less punishing, more expected 10% levy."",
    ""In recent weeks, indexes in the US have been trading around all-time highs."",
    ""The latest measures are less extreme than what Trump first put forward in April, but they will still push the average tariff rate to roughly 17%, up from less than 2.5% at the start of the year.""
]"
109,"[
    ""The International Monetary Fund (IMF) has predicted stronger global economic growth than it forecast in April in part due to some US tariffs on goods being softened."",
    ""A surge in US imports as firms tried to beat impending higher import taxes and actions by some governments to boost growth bumped up its latest forecast."",
    ""Higher tariffs and more uncertainty could lead to weaker growth and slower economic activity, the IMF warned."",
    ""UK growth is predicted to be 1.2% this year, and 1.4% in 2026, unchanged from revised forecasts set out in May."",
    ""The UK is set to be the third fastest growing economy out the world's so-called most advanced economies this year and the next, after US and Canada."",
    ""The upgrade to its global predictions included trade 'front-loading' in recent months - referring to the rush of imports into the US."",
    ""It forecast global growth of 3% in 2025 and 3.1% in 2026, up from 2.8% and 3% in its April report."",
    ""That is still below the 3.3% rate it had projected for both years in January, prior to US President Donald Trump taking office, and the pre-pandemic historical average of 3.7%."",
    ""American firms rushed products into the country earlier this year to try to get ahead of new taxes on imports."",
    ""This created risks that could add to any future economic shocks, including companies having too much stock, making future imports less necessary."",
    ""Firms may have to pay more to store goods, and there was also a risk of items becoming obsolete."",
    ""The boost from front-loading is going to 'fade away' and it risked being a drag on economic activity in the second half of the year and into 2026."",
    ""The global pace of price rises was expected to fall to 4.2% in 2025 and 3.6% in 2026."",
    ""Inflation would probably remain above target in the US as import taxes were passed through to US consumers in the second half of the year."",
    ""Trump's trade policies have upended global trade."",
    ""A universal tariff of 10% on goods from nearly all countries was brought in from April."",
    ""Far higher tariffs that the US and China have imposed on each other have been paused until 12 August."",
    ""Steeper tariffs that have been announced on products including cars, steel and other metals, pharmaceuticals and computer chips, have not been included in the IMF forecast."",
    ""Trade deals with Japan and the EU have not been included in the numbers.""
]"
